600028.SH,中国石化
601857.SH,中国石油
601668.SH,中国建筑
600104.SH,上汽集团
601318.SH,中国平安
0941.HK,中国移动
601398.SH,工商银行
601390.SH,中国中铁
601186.SH,中国铁建
601939.SH,建设银行
601628.SH,中国人寿
601288.SH,农业银行
601988.SH,中国银行
1339.HK,中国人民保险集团
601800.SH,中国交建
K3ED.SG,中国电信(行情)
0267.HK,中信股份
3396.HK,联想控股
600050.SH,中国联通
601601.SH,中国太保
JD.O,京东
1099.HK,国药控股
600606.SH,绿地控股
000002.SZ,万科A
601669.SH,中国电建
601766.SH,中国中车
3996.HK,中国能源建设
601618.SH,中国中冶
3333.HK,中国恒大
600036.SH,招商银行
600704.SH,物产中大
600362.SH,江西铜业
601328.SH,交通银行
1658.HK,邮储银行
600019.SH,宝钢股份
601088.SH,中国神华
600000.SH,浦发银行
000333.SZ,美的集团
601166.SH,兴业银行
600016.SH,民生银行
600048.SH,保利地产
2007.HK,碧桂园
0700.HK,腾讯控股
002024.SZ,苏宁云商
CEO.N,中海油
601336.SH,新华保险
600153.SH,建发股份
601600.SH,中国铝业
BABA.N,阿里巴巴
0288.HK,万洲国际
0966.HK,中国太平
600297.SH,广汇汽车
3320.HK,华润医药
600170.SH,上海建工
0489.HK,东风集团股份
601607.SH,上海医药
600057.SH,象屿股份
600690.SH,青岛海尔
1958.HK,北京汽车
600029.SH,南方航空
601111.SH,中国国航
600011.SH,华能国际
000651.SZ,格力电器
000100.SZ,TCL集团
002594.SZ,比亚迪
600188.SH,兖州煤业
3323.HK,中国建材
000063.SZ,中兴通讯
600068.SH,葛洲坝
601633.SH,长城汽车
600115.SH,东方航空
600755.SH,厦门国贸
2799.HK,中国华融
601818.SH,光大银行
1109.HK,华润置地
000338.SZ,潍柴动力
1508.HK,中国再保险
1359.HK,中国信达
0552.HK,中国通信服务
000630.SZ,铜陵有色
601727.SH,上海电气
601899.SH,紫金矿业
000625.SZ,长安汽车
G92.SG,中国航油
0493.HK,国美零售
0606.HK,中国粮油控股
000626.SZ,远大控股
000709.SZ,河钢股份
0656.HK,复星国际
0881.HK,中升控股
601919.SH,中远海控
K3SD.SG,百度(行情)
0135.HK,昆仑能源
000066.SZ,中国长城
000725.SZ,京东方A
600839.SH,四川长虹
601258.SH,庞大集团
600015.SH,华夏银行
001979.SZ,招商蛇口
600027.SH,华电国际
600998.SH,九州通
000876.SZ,新希望
601898.SH,中煤能源
600887.SH,伊利股份
300498.SZ,温氏股份
0813.HK,世茂房地产
000878.SZ,云南铜业
601991.SH,大唐发电
600795.SH,国电电力
002183.SZ,怡亚通
000898.SZ,鞍钢股份
002352.SZ,顺丰控股
000825.SZ,太钢不锈
0836.HK,华润电力
VIPS.N,唯品会
601212.SH,白银有色
600585.SH,海螺水泥
600383.SH,金地集团
0960.HK,龙湖地产
600340.SH,华夏幸福
2319.HK,蒙牛乳业
2777.HK,富力地产
0175.HK,吉利汽车
601117.SH,中国化学
600096.SH,云天化
600418.SH,江淮汽车
002210.SZ,飞马国际
000778.SZ,新兴铸管
601989.SH,中国重工
000039.SZ,中集集团
600339.SH,中油工程
600335.SH,国机汽车
1893.HK,中材股份
600547.SH,山东黄金
600710.SH,ST常林
600022.SH,山东钢铁
000932.SZ,*ST华菱
601238.SH,广汽集团
0933.HK,光汇石油
601933.SH,永辉超市
600546.SH,山煤国际
600900.SH,长江电力
002416.SZ,爱施德
600808.SH,马钢股份
0392.HK,北京控股
601992.SH,金隅股份
601169.SH,北京银行
600827.SH,百联股份
0598.HK,中国外运
3383.HK,雅居乐集团
600166.SH,福田汽车
002493.SZ,荣盛石化
601006.SH,大秦铁路
600939.SH,重庆建工
600871.SH,石化油服
000959.SZ,首钢股份
1880.HK,百丽国际(退市)
601611.SH,中国核建
300226.SZ,上海钢联
600623.SH,华谊集团
600058.SH,五矿发展
600221.SH,海航控股
600500.SH,中化国际
000034.SZ,神州数码
000701.SZ,厦门信达
600519.SH,贵州茅台
600089.SH,特变电工
1828.HK,大昌行集团
2386.HK,中石化炼化工程
600023.SH,浙能电力
600489.SH,中金黄金
0661.HK,中国大冶有色金属
K3MD.SG,NETEASE(行情)
600751.SH,天海投资
2357.HK,中航科工
0751.HK,创维数码
600066.SH,宇通客车
000069.SZ,华侨城A
1918.HK,融创中国
600307.SH,酒钢宏兴
600612.SH,老凤祥
2689.HK,玖龙纸业
3377.HK,远洋集团
000961.SZ,中南建设
601229.SH,上海银行
2688.HK,新奥能源
600729.SH,重庆百货
000829.SZ,天音控股
2016.HK,浙商银行
000960.SZ,锡业股份
600875.SH,东方电气
601225.SH,陕西煤业
0161.HK,中航国际控股
000906.SZ,浙商中拓
3808.HK,中国重汽
1816.HK,中广核电力
000703.SZ,恒逸石化
000656.SZ,金科股份
600981.SH,汇鸿集团
002415.SZ,海康威视
600060.SH,海信电器
1728.HK,正通汽车
600018.SH,上港集团
600919.SH,江苏银行
1133.HK,哈尔滨电气
600010.SH,包钢股份
002146.SZ,荣盛发展
600291.SH,西水股份
600782.SH,新钢股份
600039.SH,四川路桥
600309.SH,万华化学
601985.SH,中国核电
600376.SH,首开股份
002091.SZ,江苏国泰
000761.SZ,本钢板材
3969.HK,中国通号
600886.SH,国投电力
000059.SZ,华锦股份
3900.HK,绿城中国
000617.SZ,中油资本
600820.SH,隧道股份
0291.HK,华润啤酒
1030.HK,新城发展控股
1193.HK,华润燃气
600694.SH,大商股份
600837.SH,海通证券
601168.SH,西部矿业
600642.SH,申能股份
000938.SZ,紫光股份
0817.HK,中国金茂
002311.SZ,海大集团
600100.SH,同方股份
601718.SH,际华集团
002456.SZ,欧菲光
000921.SZ,海信科龙
600713.SH,南京医药
0980.HK,联华超市
601003.SH,柳钢股份
000550.SZ,江铃汽车
601009.SH,南京银行
0581.HK,中国东方集团
002202.SZ,金风科技
0119.HK,保利置业集团
000768.SZ,中航飞机
600600.SH,青岛啤酒
601211.SH,国泰君安
600056.SH,中国医药
Z25.SG,仁恒置地
600271.SH,航天信息
601233.SH,桐昆股份
1316.HK,耐世特
000963.SZ,华东医药
2068.HK,中铝国际
000046.SZ,泛海控股
000858.SZ,五粮液
000415.SZ,渤海金控
601231.SH,环旭电子
0506.HK,中国食品
0384.HK,中国燃气
002142.SZ,宁波银行
002092.SZ,中泰化学
600685.SH,中船防务
600031.SH,三一重工
000488.SZ,晨鸣纸业
000800.SZ,一汽轿车
000539.SZ,粤电力A
000538.SZ,云南白药
601888.SH,中国国旅
900948.SH,伊泰B股
0916.HK,龙源电力
0884.HK,旭辉控股集团
600893.SH,航发动力
600569.SH,安阳钢铁
600098.SH,广州发展
3800.HK,保利协鑫能源
300104.SZ,乐视网
1313.HK,华润水泥控股
600686.SH,金龙汽车
3618.HK,重庆农村商业银行
600518.SH,康美药业
0819.HK,天能动力
600150.SH,中国船舶
0951.HK,超威动力
JKS.N,晶科能源
600466.SH,蓝光发展
600180.SH,瑞茂通
600522.SH,中天科技
1829.HK,中国机械工程
3698.HK,徽商银行
600438.SH,通威股份
0123.HK,越秀地产
600708.SH,光明地产
000732.SZ,泰禾集团
000776.SZ,广发证券
3380.HK,龙光地产
1090.HK,大明国际
600122.SH,宏图高科
2868.HK,首创置业
000016.SZ,深康佳A
600597.SH,光明乳业
601877.SH,正泰电器
600332.SH,白云山
000157.SZ,中联重科
002221.SZ,东华能源
000402.SZ,金融街
K3RD.SG,携程网(行情)
600126.SH,杭钢股份
000983.SZ,西山煤电
002081.SZ,金螳螂
000671.SZ,阳光城
000540.SZ,中天金融
002244.SZ,滨江集团
600637.SH,东方明珠
SMI.N,中芯国际
600487.SH,亨通光电
002241.SZ,歌尔股份
1044.HK,恒安国际
600346.SH,恒力股份
600584.SH,长电科技
000758.SZ,中色股份
002018.SZ,华信国际
CSIQ.O,阿特斯太阳能
0363.HK,上海实业控股
002157.SZ,正邦科技
0732.HK,信利国际
2380.HK,中国电力
002470.SZ,金正大
600348.SH,阳泉煤业
600699.SH,均胜电子
0604.HK,深圳控股
2355.HK,宝业集团
000031.SZ,中粮地产
002203.SZ,海亮股份
600143.SH,金发科技
1365.HK,润东汽车
3799.HK,达利食品
600859.SH,王府井
1638.HK,佳兆业集团
000501.SZ,鄂武商A
0346.HK,延长石油国际
6066.HK,中信建投证券
300072.SZ,三聚环保
600498.SH,烽火通信
601333.SH,广深铁路
002419.SZ,天虹股份
000411.SZ,英特集团
2128.HK,中国联塑
002304.SZ,洋河股份
2006.HK,锦江酒店
600398.SH,海澜之家
601688.SH,华泰证券
000933.SZ,神火股份
000425.SZ,徐工机械
002385.SZ,大北农
600233.SH,圆通速递
002608.SZ,江苏国信
1333.HK,中国忠旺
0305.HK,五菱汽车
600660.SH,福耀玻璃
600691.SH,阳煤化工
600295.SH,鄂尔多斯
1208.HK,五矿资源
600822.SH,上海物贸
0416.HK,锦州银行
002237.SZ,恒邦股份
601018.SH,宁波港
600682.SH,南京新百
1233.HK,时代地产
601127.SH,小康股份
600093.SH,易见股份
2066.HK,盛京银行
600021.SH,上海电力
601866.SH,中远海发
0816.HK,华电福新
603003.SH,龙宇燃油
1296.HK,国电科环
600409.SH,三友化工
JASO.O,晶澳太阳能
2314.HK,理文造纸
000652.SZ,泰达股份
002589.SZ,瑞康医药
000807.SZ,云铝股份
002251.SZ,步步高
600278.SH,东方创业
000759.SZ,中百集团
600787.SH,中储股份
601886.SH,江河集团
300433.SZ,蓝思科技
000422.SZ,湖北宜化
6188.HK,迪信通
601808.SH,中海油服
600973.SH,宝胜股份
2313.HK,申洲国际
BS6.SG,扬子江
000060.SZ,中金岭南
000021.SZ,深科技
1862.HK,景瑞控股
0297.HK,中化化肥
600177.SH,雅戈尔
0371.HK,北控水务集团
000166.SZ,申万宏源
601666.SH,平煤股份
0579.HK,京能清洁能源
2382.HK,舜宇光学科技
600491.SH,龙元建设
600141.SH,兴发集团
600231.SH,凌钢股份
002078.SZ,太阳纸业
1103.HK,大生农业金融
1238.HK,宝龙地产
1068.HK,雨润食品
600565.SH,迪马股份
000572.SZ,海马汽车
601699.SH,潞安环能
600675.SH,中华企业
601179.SH,中国西电
6138.HK,哈尔滨银行
600664.SH,哈药股份
002110.SZ,三钢闽光
600497.SH,驰宏锌锗
3382.HK,天津港发展
000717.SZ,韶钢松山
600535.SH,天士力
3360.HK,远东宏信
600595.SH,中孚实业
0754.HK,合生创展集团
600073.SH,上海梅林
600757.SH,长江传媒
002475.SZ,立讯精密
600926.SH,杭州银行
600823.SH,世茂股份
600157.SH,永泰能源
601789.SH,宁波建工
1628.HK,禹洲地产
CYD.N,玉柴国际
2678.HK,天虹纺织
000937.SZ,冀中能源
600208.SH,新湖中宝
000078.SZ,海王生物
600531.SH,豫光金铅
600737.SH,中粮糖业
1177.HK,中国生物制药
600801.SH,华新水泥
002426.SZ,胜利精密
000564.SZ,供销大集
600745.SH,闻泰科技
2020.HK,安踏体育
002236.SZ,大华股份
600325.SH,华发股份
601881.SH,中国银河
600219.SH,南山铝业
0618.HK,北大资源
600697.SH,欧亚集团
600026.SH,中远海能
600582.SH,天地科技
600858.SH,银座股份
601880.SH,大连港
600663.SH,陆家嘴
600373.SH,中文传媒
002736.SZ,国信证券
600711.SH,盛屯矿业
600961.SH,株冶集团
000977.SZ,浪潮信息
600038.SH,中直股份
002048.SZ,宁波华翔
002386.SZ,天原集团
1966.HK,中骏置业
603288.SH,海天味业
600361.SH,华联综超
600352.SH,浙江龙盛
000401.SZ,冀东水泥
600079.SH,人福医药
603858.SH,步长制药
300058.SZ,蓝色光标
600869.SH,智慧能源
600567.SH,山鹰纸业
600085.SH,同仁堂
002600.SZ,江粉磁材
002506.SZ,协鑫集成
600742.SH,一汽富维
600583.SH,海油工程
0814.HK,北京京客隆
603609.SH,禾丰牧业
002217.SZ,合力泰
3883.HK,中国奥园
600677.SH,航天通信
1578.HK,天津银行
0546.HK,阜丰集团
600997.SH,开滦股份
600999.SH,招商证券
600390.SH,五矿资本
600266.SH,北京城建
000729.SZ,燕京啤酒
600879.SH,航天电子
601012.SH,隆基股份
002302.SZ,西部建设
600502.SH,安徽水利
600406.SH,国电南瑞
3301.HK,融信中国
3389.HK,亨得利